long,lat,rgb_band_1,rgb_band_2,rgb_band_3,ndvi_band_1,label
106.11751984700004,11.691813718000049,1786.0,1962.5,1665.5,0.45432326,True
106.18754801900008,11.61148520200004,2438.0,2224.0,1951.0,0.07895731,False
106.17016907400004,11.635297743000024,1403.0,1708.0,1458.0,0.5171227,False
106.18003986100004,11.650419924000062,2054.0,1847.0,1676.0,0.34397957,False
106.12113385000004,11.687245182000026,1551.5,1771.0,1533.5,0.4895122,True
106.14491664000008,11.639512194000076,1608.0,1886.0,1581.0,0.48162475,True
106.11821410700009,11.67135539700007,1674.0,1952.5,1844.0,0.4797607,False
106.14874602100008,11.677310359000046,1570.0,1832.5,1520.0,0.49936223,True
106.19250603600004,11.616803009000025,2174.0,2108.0,1892.0,0.21260414,False
106.19364930200004,11.690741244000035,2133.0,2143.0,1847.5,0.3045888,True
106.20284553900008,11.680211529000076,2770.0,2428.0,2237.0,0.13787737,False
106.14505740400004,11.674194484000054,2211.0,2206.0,2021.0,0.36019677,True
106.19178140800004,11.624028869000028,1641.0,1715.0,1650.0,0.2708287,False
106.15087898100006,11.649658018000023,1501.0,1780.0,1521.0,0.47045335,False
106.19036591000008,11.628482534000057,1950.0,1917.0,1700.0,0.26746807,False
106.18737569200005,11.683077920000072,1972.0,2061.0,1739.5,0.37277353,True
106.20515637500004,11.643722079000042,2054.0,1954.0,1704.0,0.2528192,False
106.18226520200004,11.688586230000055,2533.0,2350.0,2156.0,0.11255146,False
106.11874933300004,11.688522857000066,1754.0,1948.5,1623.0,0.46965,True
106.11654756100006,11.675776951000046,1463.5,1641.0,1437.5,0.4216558,False
106.17887995500008,11.671244877000047,1617.0,1811.0,1595.0,0.4614488,True
106.11354619200004,11.620953771000076,1362.0,1544.0,1422.0,0.49908054,False
106.19087695500008,11.617197946000031,3112.0,3104.0,2678.0,0.074635744,False
106.21630615200009,11.66014917800004,1756.0,1919.0,1697.0,0.421893,True
106.17947579700008,11.642124308000064,1562.0,1706.0,1546.0,0.44639376,False
106.14098072200004,11.683387550000075,2140.0,2057.0,1887.0,0.34254992,True
106.17453376500004,11.679211881000072,1634.5,1843.0,1548.0,0.47649932,True
106.18840927100004,11.681734977000076,1880.0,2037.0,1767.0,0.3840105,True
106.18211460600008,11.63165007300006,2506.0,2240.0,2024.0,0.25879917,True
106.11936312600004,11.621379087000037,1596.0,1835.0,1461.0,0.4362416,True
106.14138516000008,11.686634835000064,1821.0,1897.0,1722.0,0.267498,True
106.18362702700004,11.665073678000056,1623.0,1954.0,1618.0,0.45791584,True
106.19116522900003,11.642982834000064,1700.0,1938.0,1693.0,0.4344644,True
106.20985736900008,11.65422232700007,2814.0,2432.0,2110.0,0.071899734,False
106.12453719700004,11.625975924000045,1641.0,1698.0,1503.0,0.27661452,False
106.18093583400008,11.686567997000054,2155.0,2042.0,1803.0,0.29053497,True
106.14048741700007,11.675145955000062,1825.0,1975.5,1732.0,0.419206,True
106.14068418800008,11.684969636000062,1999.5,1998.0,1746.0,0.47085676,True
106.13514850900005,11.635408977000054,1902.0,1975.0,1780.0,0.38664946,True
106.15122420000004,11.67047991900006,1646.5,1771.0,1518.0,0.42605665,False
106.17457997800004,11.67765305000006,1515.0,1638.0,1455.5,0.41227815,False
106.20771220900008,11.623654164000072,1675.0,1789.0,1586.0,0.44710347,True
106.18891668900004,11.627968818000056,1499.0,1630.0,1448.0,0.4808658,False
106.17562257300004,11.680250658000034,1929.0,1929.5,1712.5,0.335515,True
106.11798934500004,11.69712592700006,1293.0,1498.5,1376.5,0.53186095,False
106.16704287500004,11.696399617000054,2255.0,2066.0,1899.0,0.31806153,True
106.20948020400004,11.633416683000064,1840.0,1919.0,1684.0,0.3715847,False
106.17756093000008,11.66457911300006,1596.0,1932.0,1624.0,0.4552901,True
106.20188060000004,11.637849352000046,1678.0,1692.0,1494.0,0.3911466,False
106.14510176900006,11.673552332000042,2004.0,1999.5,1813.0,0.39873987,True
106.11540789800004,11.695549105000056,1579.5,1810.0,1641.5,0.39759725,True
106.11364901800005,11.643806132000066,2572.0,2522.0,2328.0,0.1613955,False
106.15140698000005,11.64639352200004,1720.0,1745.0,1620.0,0.27731094,True
106.22080203800004,11.626970974000074,1508.0,1802.0,1622.0,0.3406209,False
106.21236585000008,11.653152343000045,2090.0,2052.0,1824.0,0.24738927,True
106.19567279100004,11.628361078000069,2332.0,2120.0,1960.0,0.04855161,False
106.20877472400008,11.672893676000058,1814.0,1851.0,1634.5,0.3272761,False
106.16627506800006,11.620616877000032,1686.0,1865.0,1622.0,0.33148295,True
106.12138350700008,11.622135727000057,1878.0,1809.0,1567.0,0.39836618,True
106.17853866900003,11.648794892000067,2158.0,2258.0,2032.0,0.20952381,False
106.21469049500008,11.643717137000069,2510.0,2274.0,1985.0,0.15601882,True
106.14604270800004,11.678271942000038,1864.0,1974.0,1675.0,0.4160401,True
106.14820274300008,11.67015257600002,2389.0,2244.0,2056.0,0.2808549,True
106.19169969700005,11.632508864000044,2114.0,2080.0,1808.0,0.30231023,True
