OID_,CID,POINT_X,POINT_Y
,1,106.157210777000046,11.636339289000034
,1,106.157776238000054,11.636569187000077
,2,106.150322602000074,11.660536310000055
,2,106.151148431000081,11.660245939000049
,3,106.151392153000074,11.670289266000054
,3,106.151574468000035,11.669870223000032
,4,106.152602010000066,11.669324403000076
,4,106.153001937000056,11.669308119000050
,5,106.145439354000075,11.663869715000033
,5,106.145814058000042,11.662457449000044
,6,106.145352786000046,11.653658689000054
,6,106.145149937000042,11.654101599000057
,7,106.141244337000046,11.655163634000075
,7,106.141146841000079,11.655212797000047
,8,106.143789574000039,11.654942021000068
,8,106.141977151000049,11.654832341000031
,9,106.142637793000063,11.656377126000052
,9,106.142269016000057,11.655821140000057
,10,106.144445981000047,11.655733858000076
,10,106.144480960000067,11.656108948000053
,11,106.149769598000034,11.654196810000030
,11,106.150082929000064,11.654783541000029
,12,106.169692005000059,11.663099234000072
,12,106.170119115000034,11.662730582000052
,13,106.170302451000055,11.663746360000061
,13,106.170542912000087,11.663460696000072
,14,106.169065249000084,11.664259707000042
,14,106.168509045000064,11.664390836000052
,15,106.172588104000056,11.660787577000065
,15,106.171555317000070,11.661234195000077
,16,106.170919575000084,11.660521663000054
,16,106.171322083000064,11.660131679000074
,17,106.171024932000080,11.667008597000063
,17,106.171903300000054,11.666589133000059
,18,106.170985252000037,11.666064800000072
,18,106.171592202000056,11.665774195000040
,19,106.165336016000083,11.669863036000038
,19,106.165302159000078,11.670030316000066
,20,106.165940899000077,11.667311154000060
,20,106.165613529000041,11.666011736000030
,21,106.164195106000079,11.666693366000061
,21,106.164608640000040,11.666830398000059
,22,106.209129756000038,11.603938024000058
,22,106.210546587000067,11.603288717000055
,23,106.208021179000070,11.602646345000039
,23,106.208716356000082,11.603621214000043
,24,106.207386654000061,11.602924934000043
,24,106.207881818000033,11.603251644000068
,25,106.207419755000046,11.603930180000077
,25,106.206881533000058,11.603117486000031
,26,106.206563347000042,11.604745333000039
,26,106.206545663000043,11.605049557000029
,27,106.205655133000050,11.605510574000050
,27,106.205243393000046,11.604359536000061
,28,106.209643370000038,11.606570122000051
,28,106.209853721000059,11.606812740000066
,29,106.208983459000081,11.606193546000043
,29,106.209241408000082,11.605873557000052
,30,106.215596315000084,11.611880451000047
,30,106.215912135000053,11.610495486000048
,31,106.215742552000052,11.612256324000043
,31,106.216421761000049,11.611632024000073
,32,106.217978744000050,11.623170696000045
,32,106.218226607000076,11.623005666000040
,33,106.216549733000079,11.624721479000073
,33,106.216985432000058,11.625127076000069
,34,106.215902555000071,11.616790939000055
,34,106.214810969000041,11.616010069000026
,35,106.220201213000053,11.630577584000036
,35,106.219511928000088,11.630059847000041
,36,106.218702519000033,11.629874484000027
,36,106.218627394000066,11.630883214000050
,37,106.205350056000043,11.608978860000036
,37,106.204599371000086,11.609316907000050
,38,106.204727595000065,11.610295052000026
,38,106.204895358000044,11.611697137000021
,39,106.219568899000080,11.636827225000047
,39,106.219805183000062,11.636637673000052
,40,106.214403483000069,11.620652990000053
,40,106.213842705000047,11.621024818000024
,41,106.222248339000032,11.635364470000070
,41,106.221926314000086,11.635298398000032
,42,106.222310169000082,11.636270060000072
,42,106.222659593000060,11.636413208000022
,43,106.219418970000049,11.642816318000030
,43,106.220053130000053,11.642968142000029
,44,106.218992604000050,11.659853646000045
,44,106.219094131000077,11.659556236000071
,45,106.212365850000083,11.653152343000045
,45,106.211871373000065,11.653186920000053
,46,106.211959809000064,11.644219816000032
,46,106.211535580000088,11.643473524000058
,47,106.208783077000078,11.644020641000054
,47,106.207816743000080,11.645134646000031
,48,106.211317997000037,11.649971824000033
,48,106.211565998000083,11.650303854000072
,49,106.216306152000072,11.660149178000040
,49,106.216344573000072,11.660311758000034
,50,106.218349639000053,11.658979677000048
,50,106.218221949000053,11.658828820000053
,51,106.216643411000064,11.657242634000056
,51,106.216908740000065,11.657253314000059
,52,106.214972927000076,11.655535834000034
,52,106.214743509000073,11.655240284000058
,53,106.208578759000034,11.643589849000023
,53,106.208800421000035,11.643061732000035
,54,106.213152680000064,11.639293598000052
,54,106.213521654000033,11.640061233000040
,55,106.190366937000078,11.611446276000038
,55,106.189650336000057,11.611956540000051
,56,106.187588088000041,11.609400059000052
,56,106.188782414000059,11.609317100000055
,57,106.209660071000087,11.671065920000046
,57,106.209146104000069,11.670642106000059
,58,106.209479355000042,11.671918552000022
,58,106.209672063000085,11.671866082000065
,59,106.208862469000053,11.672322304000033
,59,106.208447983000042,11.672186087000057
,60,106.204437244000076,11.675974207000024
,60,106.204161809000084,11.676511794000021
,61,106.203708926000047,11.678039147000050
,61,106.203768123000089,11.678107617000023
,62,106.198262922000083,11.679023464000068
,62,106.198724562000052,11.678864188000034
,63,106.198012989000063,11.682694708000042
,63,106.198887852000041,11.683213770000066
,64,106.194267534000062,11.684546684000054
,64,106.193326943000045,11.684492430000034
,65,106.199766901000032,11.685844076000024
,65,106.198862636000058,11.685932434000051
,66,106.194811738000055,11.689975079000021
,66,106.195133941000051,11.690831057000025
,67,106.198873205000041,11.691058094000027
,67,106.198514406000072,11.691172000000051
,68,106.193623318000050,11.691829592000033
,68,106.193649302000040,11.690741244000037
,69,106.192797652000081,11.690892080000026
,69,106.193566927000063,11.690143709000040
,70,106.190844305000041,11.690812536000067
,70,106.191579072000081,11.690678822000052
,71,106.190969193000058,11.689121984000053
,71,106.191774985000052,11.687061838000034
,72,106.189291417000049,11.691537632000063
,72,106.188318963000086,11.691075347000037
,73,106.187428724000085,11.691007050000053
,73,106.188216001000058,11.690072552000061
,74,106.184980316000065,11.689465172000041
,74,106.186127874000078,11.689112140000077
,75,106.192190153000070,11.685652548000064
,75,106.191040337000061,11.686709216000054
,76,106.190308802000061,11.687267210000073
,76,106.190155840000045,11.687565707000033
,77,106.189420797000082,11.685360708000076
,77,106.188720753000041,11.685766160000071
,78,106.189489912000056,11.683301858000050
,78,106.187710668000079,11.683326563000037
